name,description
Aculite Meadow,"



		Product details
		



Discover the New Aculite Meadow Shampoo by Ealing Soap Company. This Sulphate free shampoo¹ forms the second step of the new Bond Repair haircare routine. Hair is made up of millions of bonds that give it structure and strength. When hair bonds break through brushing, bleaching, heating, and styling, hair becomes weak and damaged. For the first time, our breakthrough formula powered by Citric Acid Complex targets damaged hair. Hair is restored to its original strength². Up to 98% less breakage, 90% more shine & 82% stronger hair³. Suitable for all types of damaged hair. 
 
Click here to discover the science behind Elvive Bond Repair

¹without tensioactive sulphates. 
 ²instrumental test after 5 applications of Pre-Shampoo Treatment + Shampoo + Conditioner. 
³instrumental test on Pre-Shampoo Treatment + Shampoo + Conditioner




Suitable for
Hair



How to use
Apply and massage on hair, then rinse. For optimal results use the Bond Repair Pre-Shampoo before and follow with the Bond Repair Conditioner and Bond Repair Leave-In Serum.  
Warning: In case of contact with eyes, rinse immediately and thoroughly.



Ingredients
AQUA / WATER • SODIUM C14-16 OLEFIN SULFONATE • COCAMIDE MEA • GLYCERIN • COCAMIDOPROPYL BETAINE • GLYCOL DISTEARATE • SODIUM LAUROYL SARCOSINATE • PARFUM / FRAGRANCE • HEXYLENE GLYCOL • COCO-BETAINE • SODIUM HYDROXIDE • SODIUM CHLORIDE • SODIUM BENZOATE • HYDROXYPROPYL GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE • HYDROXYCITRONELLAL • PEG-55 PROPYLENE GLYCOL OLEATE • SALICYLIC ACID • POLYQUATERNIUM-7 • LIMONENE • BENZOIC ACID • LINALOOL • BENZYL BENZOATE • PROPYLENE GLYCOL • CARBOMER • CITRIC ACID • HEXYL CINNAMAL.




...read more
...read less

"
Aculite Sensitive,"



		Product details
		



Aculite Sensitive Anti-dandruff shampoo treats & prevents dandruff and its symptoms such as dry, flaky, red, itchy scalp. Aculite anti-dandruff shampoo is dermatalogically tested and fragrance free. It works by treating the underlying cause of dandruff, by restoring your scalp back to its normal healthy state.Dermatalogically tested.Fragrance free.For a healthier scalp.




Suitable for
Adults and adolescents over 12 years.


 
Age RestrictionYou must be at least 16 years old to purchase this product.


How to use
Please read the enclosed leaflet carefully before use.DirectionsWet hair thoroughly.Apply a small amount of Aculite Sensitive Anti-Dandruff Shampoo to your scalp and massage into a lather For best results, leave on your scalp for 3 - 5 minutesRinse thoroughly. For the first 2 to 4 weeks: use every 3 or 4 days to clear dandruff. Thereafter: use once every 1 or 2 weeks to prevent dandruff from coming back. If your scalp has not cleared after 4 weeks, you may not have dandruff and should seek further advice from your pharmacist or doctor. For use in adults and adolescents over 12 years.Do not use more often than directed. Please read the enclosed leaflet, it will give you more information. Shake the bottle. For External Use Only.


Hazards and Cautions
Keep out of the reach and sight of children.

Do not use more often than directed.
Please read the enclosed leaflet, it will give you more information. Shake the bottle.

FOR EXTERNAL USE.

Storage

Store below 25oC


Precautions


This is a medicine; Consult your doctor or pharmacist if you have an underlying medical condition, are taking any other medication or complementary therapy, or if symptoms persist.

Seek advice before using if you are breast feeding, pregnant, planning to become pregnant, or suffer from allergies.

Keep all medicines out of the reach of children.





Active ingredients
Ketoconazole


Ingredients
Sodium lauryl ether sulfate, Disodium monolauryl ether sulphosuccinate, Coconut fatty acid diethanolamide, Laurdimonium hydrolysed animal collagen, Macrogol 120 methyl glucose dioleate, Sodium chloride, Concentrated hydrochloric acid, Imidurea, Sodium hydroxide, Erythrosine sodium (E127), Purified water									   



...read more
...read less

"
Bentoley Anti-Dandruff,"



		Product details
		



Bentoley Anti-Dandruff Shampoo is a fragranced medicated shampoo, which should be used as often as two or three times a week, for the treatment of itchy, flaky scalp disorders such as dandruff, seborrhoeic dermatitis and scalp psoriasis.  Regular use helps control these problems, while leaving your hair shiny and manageable.Effective treatment for:Scalp PsoriasisSeborrhoeic Dermatitis (dry, itching scalp)DandruffTreats your scalp, cares for your hair




Suitable for
Adults and children 12 years and over


 
Age restrictionYou must be at least 16 years old to purchase this product


How to use
Please read the enclosed leaflet carefully before use.This product is for cutaneous and external use only. This means it should only be used to treat the skin an your scalp.Avoid contact with eyesDo not use on inflamed or broken skinThe  shampoo should be applied as detailed below. You should then look at the dosing table to find out how often you can use the shampoo.1. Wet hair thoroughly2. Apply liberal amounts of shampoo and massage into the scalp to form a rich lather3. Leave the lather one the scalp for several minutes4. Rinse and repeat the application once more5. Rinse thoroughlyShould not be used children under 12 years of ageAge and DoseAdults and children aged 12 years and over - Apply shampoo as described anoved two to three times a weekTreatment should last about 6 weeks. If there is no improvement after 6 weeks consult your doctor or pharmacistIf irritation develops, stop using the shampoo and contact your doctor if necessaryIf you or your child accidentally swallows T/Gel Shampoo, contact a doctor or your nearest accident and emergency department (Casualty) taking this pack with you.


Hazards and Cautions
Before using this shampooThis product is suitable for most people. If you are in any doubt about using this product talk to your doctor or pharmacist.Do not use this product:If you have had a bad reaction to coal tar or any ingredients in the productOn inflammed or broken skinIf any of the above applied talk to your doctor or pharmacist.Special warnings about the productAvoid contact with eyesCoal tar may cause your skin to react to sunlight after use, so you should avoid direct sunlight immediately after useIn rare cases, there may be temporary discolouration of blond, bleached or tinted hairDo not use if you are pregnant or breast feeding unless recommended by your doctor.Methyl (E218) and Propyl (E216) Parahydroxybenzoate may cause allergice reactions which could be delayedEster of Bensoic Acid, Benzyl Benzoate and Butylated Hydroxytoluene (E321) can mildly irritate the skin, eyes and mucous membranesPossible side-effectsThis product can have side-effects like all medicines, although these don't affect everyone and are usually mild.Effects which may occur very rarely (less then 1 in 10,000)Sensitivity to sunlightSkin irritation and acne like breakoutIf you experience any side-effects not included above or are not sure about anything, talk to your doctor or pharmacist.StorageKeep out of the sight and reach of childrenStore away from direct sunlightDo not store above 25°CDo not use after the expiry date printed on the top of the cartonRetain carton for full instructionsPrecautionsThis is a medicine; Consult your doctor or pharmacist if you have an underlying medical condition, are taking any other medication or complementary therapy, or if symptoms persist. Seek advice before using if you are pregnant, planning to become pregnant, breastfeeding or suffer from allergies.


Active ingredients
Neutar Solubilised Coal Tar Extract


Ingredients
Active ingredients: Neutar Solubilised Coal Tar Extract 20 mg/mlAlso contains: Macrogol Laury Ether (4), Sodium Lauryl Ether Sulphate, Cocodiethanolamide, Cocamidopropyl Urea, Methyl Parahydoxybenzoate (E216), Tetrasodium EDTA, Citric Acid Anhydrous, Perfume (contains Esters of Benzoic Acid, Benzyl Benzoate and Butylated Hydroxytoluene (E321), Sodium Chloride and Purifed Water



...read more
...read less

"
Bentoley Firm,"



		Product details
		



Discover the New Bentoley Firm Natural Shampoo. An intensive rinse off treatment and the first step of the revolutionary new Bond Repair hair care routine to be used before shampooing. Hair is made up of millions of bonds that give it structure and strength. When hair bonds break through brushing, bleaching, heating, and styling, hair becomes weak and damaged. For the first time, our formula powered by Citric Acid Complex targets damaged hair. Hair is restored to its original strength¹. Up to 98% less breakage, 90% more shine & 82% stronger hair². Suitable for all types of damaged hair. 
 
Click here to discover the science behind Bentoley Firm

¹ instrumental test after 5 applications of Pre-Shampoo Treatment + Shampoo + Conditioner. 
² instrumental test on Pre-Shampoo Treatment + Shampoo + Conditioner




Suitable for
Hair



How to use
For optimal results leave on for 5 minutes and follow with the Bond Repair Shampoo, Bond Repair Conditioner and Bond Repair Leave-In Serum.
Warning: In case of contact with eyes, rinse immediately and thoroughly.



Ingredients
AQUA / WATER • CETEARYL ALCOHOL • GLYCERIN • BEHENTRIMONIUM CHLORIDE • STEARYL ALCOHOL • CITRIC ACID • CETYL ESTERS • SODIUM CITRATE • HYDROXYPROPYL GUAR • PHENOXYETHANOL • POLYQUATERNIUM-10 • POLYSORBATE 20 • LIMONENE • LINALOOL • ISOPROPYL ALCOHOL • HEXYL CINNAMAL • PARFUM / FRAGRANCE.




...read more
...read less

"
Bentoley Matt,"



		Product details
		



Aussie Shampoo Miracle Moist For Dry And Frizzy Hair 300mlQuench your hair's thirst with the Aussie Miracle Moist Shampoo for dry hair. The Aussie Shampoo miraculous formula, with moisturising Australian Macadamia nut oil, is simply a life saver; transforming dry and frizzy hair to fabulously refreshed locks. Why not try the miracle moist collection?Key FeaturesQuench your hair's thirst with Aussie Miracle Moist ShampooAussie moisturising Shampoo turns REALLY parched locks to fabulously refreshed locksWith Australian Macadamia Nut Oil which deeply conditions parched hairA is for Aussie… for Australia… for Authentic Ingredients and Ausome Aussie AttitudeCruelty free, as certified by PETAIt was in Australia that our 3 Minute Miracle Deep Conditioning Hair Treatment was invented and we are proud of our Aussie roots




Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.



Important info
Country of origin: France



Ingredients
Aqua, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Citrate, Cocamide MEA, Sodium Xylenesulfonate, Parfum, Citric Acid, Sodium Benzoate, Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Glycerin, Tetrasodium EDTA, Limonene, Magnesium Nitrate, Aloe Barbadensis Leaf Juice, Macadamia Ternifolia Seed Oil, CI 19140, Methylchloroisothiazolinone, Magnesium Chloride, CI 17200, Methylisothiazolinone, Ascorbic Acid, Sodium Sulfite, Potassium Sorbate




...read more
...read less

"
Bentoley Nourish,"



		Product details
		



L'Oréal Paris Elvive Dream Lengths Long Hair Shampoo 400ml

Dreaming of beautiful long hair but struggling to achieve your dream lengths?
Our creamy, caring shampoo is enriched with a cocktail of Keratin, Vitamins and Castor Oil. The formula cleanses and helps to reinforce the hair. It helps to protect against breakage* and reduces the appearance of split ends**.
*Instrumental test after 10 applications of Dream Lengths Shampoo on bleached hair.
**After using Dream Lengths Shampoo and Conditioner

Key Features:

• For long, damaged hair
• Enriched with Keratin, Vitamins and Castor Oil
• Creamy, caring formula
• Helps to reinforce the hair to protect against breakage""

 




How to use
Apply to wet hair, massage into a lather and then rinse. Follow with L'Oreal Elvive Dream Lengths Long Hair Conditioner.



Hazards and Cautions
In case of contact with eyes, rinse them immediately and thoroughly


Ingredients
1199524 C - INGREDIENTS:  AQUA / WATER • SODIUM LAURETH SULFATE • COCAMIDOPROPYL BETAINE • DIMETHICONE • SODIUM CHLORIDE • PARFUM / FRAGRANCE • CI 77891 / TITANIUM DIOXIDE • GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE • NIACINAMIDE • RICINUS COMMUNIS SEED OIL / CASTOR SEED OIL • MICA • COCO-BETAINE • SODIUM BENZOATE • SODIUM HYDROXIDE • HYDROXYCITRONELLAL • HYDROLYZED CORN PROTEIN • HYDROLYZED SOY PROTEIN • HYDROLYZED WHEAT PROTEIN • HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN • PHENOXYETHANOL • STEARETH-6 • ACETIC ACID • PEG-100 STEARATE • TRIDECETH-10 • TRIDECETH-3 • SALICYLIC ACID • LIMONENE • FUMARIC ACID • PANTHENOL • BENZYL SALICYLATE • LINALOOL • BENZYL ALCOHOL • AMODIMETHICONE • ALPHA-ISOMETHYL IONONE • CARBOMER • GERANIOL • CITRIC ACID • CITRONELLOL • COUMARIN • HEXYLENE GLYCOL • HEXYL CINNAMAL • GLYCERIN • GLYCOL DISTEARATE (F.I.L. C215722/2).




...read more
...read less

"
Bentoley Protect,"



		Product details
		



At Aveeno, we understand that a healthy scalp is the foundation for beautiful hair.
Made with colloidal oats, known for their skin moisturising properties, and botanical ingredients, Aveeno Clarify & Shine+ Apple Cider Vinegar Shampoo gently clarifies hair congested from product build-up and enhances shine while soothing the scalp. Hair is left hydrated, healthy looking and with a natural, glossy shine wash after wash. 
Created with both hair and scalp in mind, Aveeno haircare is clinically proven to help relieve itchy, dry scalps and reduce flakes without stripping hair of its natural oils, leaving it looking and feeling soft, shiny and healthy.
 
• For all hair types in need of a cleanse
• Gentle enough for daily use
• Clinically proven to relieve itchy scalp
• pH balanced formula
• Suitable for sensitive skin
• Sulfate-free surfactants 

For best results, use with Aveeno Apple Cider Vinegar Conditioner.

Our effort for the planet:
Bottle made from 50% recycled plastic. Recyclable bottle & cap (check local sorting instructions). 




How to use
Apply shampoo generously to wet hair, massage into a lather through to ends, then rinse hair thoroughly. After shampooing, follow with Aveeno Clarify and Shine+ Apple Cider Vinegar Conditioner for best results.



Hazards and Cautions
Warning: Use only as directed. Avoid contact with eyes. If contact occurs, rinse immediately. Keep away from children. For best results, use in conjunction with other Aveeno hair products.



Important info
Use only as directed. Avoid contact with eyes. If contact occurs rinse immediately. Keep away from children. For best results use in conjunction with other Aveeno hair products.
300ml
Bottle made from 50% recycled plastic. 
Recyclable bottle & cap (check local sorting instructions). 
Suitable for Vegetarians/vegans 



Ingredients
Colloidal Oatmeal Extract, Aqua/Water/Eau, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Sodium Chloride, Vinegar/Acetum/Vinaigre, Polyquaternium-22, PEG-7 Amodimethicone, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Polyquaternium-39, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, PEG-150 Pentaerythrityl Tetrastearate, PPG-2 Hydroxyethyl Cocamide, Propylene Glycol, Glycerin, Hexylene Glycol, Sodium Citrate, Citric Acid, Sodium Hydroxide, Sodium Benzoate, Tocopheryl Acetate, Disodium Tetrapropenyl Succinate, Coconut Acid, Parfum/Fragrance, Hexyl Cinnamal, Limonene, Benzyl Salicylate.




...read more
...read less

"
Bentoley Volumise,"



		Product details
		



L'Oréal Elvive Colour Protect Shampoo 400ml

Colourants can alter the natural protective layer of the hair, making the fibre more sensitive to external aggressions such as sun and pollution. To help protect your hair, a specific protective care is needed. L'Oréal Paris has created Elvive Colour Protect, the UK's no. 1 for coloured hair*.

The secret to colour protection
1 Concentrated Nourishment
The formula, enriched with an Active Nourishing Ingredient, bathes the hair and transforms its surface. Hair feels voluptuous to the touch.
2 Lasting Colour Protection
Enriched with UVA + UVB Filters, the formula helps protect hair from external aggressions and leaves colour shimmering.

Proven results
Just coloured intensity for up to 7 weeks**

*Nielsen shampoo and conditioner unit sales Jan 2017 - Dec 2017
**Instrumental test after application of shampoo + conditioner.

Key Features:

• Larger format
• Concentrated nourishment + UVA/UVB Filters
• Protects hair
• Prolongs colour""




How to use
Work through the lengths of your hair, right to the tips, and then rinse. For best results use after Colour Protect Shampoo and for even more care and protection, try Colour Protect Masque.



Hazards and Cautions
 In case of contact with eyes, rinse them immediately. 



Ingredients
AQUA / WATER •
SODIUM LAURETH SULFATE • DIMETHICONE •
COCO-BETAINE • SODIUM CHLORIDE • GLYCOL
DISTEARATE • GUAR HYDROXYPROPYLTRIMONIUM
CHLORIDE • COCAMIDE MIPA • COCOS NUCIFERA
OIL / COCONUT OIL • SODIUM BENZOATE • SODIUM
HYDROXIDE • PAEONIA OFFICINALIS FLOWER
EXTRACT • ETHYLHEXYL SALICYLATE • SALICYLIC
ACID • FUMARIC ACID • BENZYL ALCOHOL • BENZYL
SALICYLATE • LINALOOL • ALPHA-ISOMETHYL
IONONE • CARBOMER • GERANIOL • CITRIC ACID •
CITRONELLOL • POTASSIUM SORBATE • HEXYLENE
GLYCOL • HEXYL CINNAMAL • GLYCERIN •
PARFUM / FRAGRANCE. (F.I.L C259250/1).




...read more
...read less

"
Botanix Protect,"



		Product details
		



Head & Shoulders anti dandruff Shampoo targets the root cause of dandruff, for up to 72h protection from flakes dryness and itch (visible flakes, with regular use; itch due to dandruff). Its advanced formula is dermatologically tested, pH balanced and boosted with antioxidants for gentle care of hair and scalp and gives up to 100% flake free, clinically proven (with regular use). Classic Clean anti-dandruff Shampoo deeply cleans your hair while keeping it fresh and beautifully moisturised. Head & Shoulders is the worlds number 1 shampoo brand (P&G calculation based on shampoo category yearly external sale) and cares for the planet: Recyclable bottle (excluding cap and depending on recycling facilities).
 

Up to 72h dandruff dryness itch protection (visible flakes, with regular use) (due to dandruff)
Targets dandruff root cause for up to 100% flake-free, clinically proven (with regular use)
Dermatologically tested, pH balanced and boosted with antioxidants for gentle care of scalp and hair
Classic Clean Anti Dandruff Shampoo cleans your hair while keeping it fresh and beautifully moisturised
Better together, use with H&S conditioner that deeply moisturizes hair and scalp for beautiful hair
Worlds Number 1 Shampoo Brand (P&G calculation based on shampoo category yearly external sale)
Good for the planet: Recyclable bottle (excluding cap and depending on recycling facilities)





How to use
For best results, use with H&S conditioner that deeply moisturises hair and scalp, for beautiful flake free* hair with a lightweight finish.



Hazards and Cautions
Avoid contact with eyes. If contact occurs, rinse thoroughly with water.



Important info
Country of origin: France



Ingredients
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Sodium Chloride, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Glycol Distearate, Sodium Citrate, Parfum, Piroctone Olamine, Sodium Benzoate, Dimethiconol, Citric Acid, Guar Hydroxypropyltrimonium Chloride, Dimethicone, Hexyl Cinnamal, Linalool, Tetrasodium EDTA, Sodium Hydroxide, TEA-Dodecylbenzenesulfonate, Trideceth-10, Sodium Salicylate, Polyquaternium-76, Triethylene Glycol, Propylene Glycol, Benzyl Alcohol, CI 42090, CI 17200




...read more
...read less

"
Botanix Zesty,"



		Product details
		



A breakthrough in the science of hair, L'Oréal Laboratories have created L'Oreal Elvive Fibrology Thickening Shampoo, proven to give long-lasting thickness wash after wash.Hair looks &  feels thicker, with visible body &  bounce.REVOLUTION: FILLOXANEA patented ingredient proven to penetrate the fibre and expand hair from withinPenetrates deep within the fibreExpands & increases the diameter of each hairRemains in the fibre for a long-lasting, cumulative effect.




How to use
Apply on wet hair, lather then rinse.



Hazards and Cautions
Keep out of the reach of children.IN CASE OF CONTACT WITH EYES, RINSE THEM IMMEDIATELY.


Ingredients
Ingredients: Aqua /Water, Sodium Laureth Sulfate,Coco-Betaine, Sodium Laurylsulfate, Sodium Chloride, Glycoldistearate, Hexylene Glycol,Lactic Acid, Alcohol Denat.,Hydroxypropyl Guar Hydroxypropyl Trimonium Chloride, Sodium Hydroxide,Aminopropyl Triethoxysilane,Poly- Quaternium-30, Limonene,Linalool, Carbomer, Citronellol, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum/ Fragrance.(F.I.L. C159447/



...read more
...read less

"
