product_description,category
"At Love Beauty and Planet we are committed to acts of love that make you and our planet a little more beautiful, every day. Our goal is a carbon footprint so small it's like we weren't even here. We started our journey by loading our beauty products with goodness, and now we're creating innovative packaging solutions like reusable bottles and refills. Over the course of a year, the more you refill, the more you reduce your plastic use and your impact on the environment! Our Murumuru Butter & Rose sulfate-free Shampoo for color treated hair will keep strands vibrant and nourished! Color safe shampoo with no sulfates, silicones, dyes or parabens. Our sulfate free shampoo made with plant-based cleansers and infused with natural coconut oil for hair hydration. Surround your hair with the juicy freshness of Rose Petals with this shampoo for color treated hair. Once empty, use our refill pack to empty into bottle when running low. For brilliantly beautiful hair, start with our shampoo for color-treated hair, Love Beauty and Planet Murumuru Butter & Rose Blooming Color Sulfate-Free Shampoo, then follow up with Rose Blooming Color Care Conditioner. On days when your hair needs a “pick me up”, try our Blooming Strength and Shine 2-minute Miracle Masque. Don’t stop with beautiful hair. Envelop your skin in our Love Beauty and Planet Murumuru Butter & Rose Bountiful Moisture Body Wash to nourish dry skin leaving it petal soft. And, if your skin craves a scrub, try our Love Beauty and Planet Sugar & Rose Peace and Glow Creamy Body Scrub. We are starting a beautiful movement. Are you in? To learn more about our vegan shampoo and our range of vegan products, visit lovebeautyandplanet.com. Packaging contains recycled content - Bottle is made from 100% post-consumer recycled content (PCR), less pump",natural
"Every masterpiece starts with a clean canvas. It's the same with your hair. If you try and wax it up into some kind of style when it's dirty, you won't get very far. You need a men's shampoo and conditioner that's powerful enough to blast away the daily grime and give your hair the full-on detox it needs. Better yet, a men's shampoo and conditioner and body wash can save you time and space. That's what Axe Total Fresh 3-in-1 Shampoo and Conditioner and Body Wash is for. Take it into the shower, get frothy, rinse (no repeating), and step out completely clean. Save time by knocking out the steps to get clean all over (hair and body) through one product. And don't forget about the conditioning action to keep your hair healthy. Our Total Fresh 3-in-1 Shampoo and Conditioner and Body Wash is built for guys. It's not just about clarifying your hair and body, it's also about bringing you an incredible experience in the shower through carefully picked fragrances. So you'll smell as good as you look and have hair that's primed for styling. And because it's a shampoo, conditioner and body wash, you'll save time in the shower and space in your gym bag too. Packaging contains recycled content - Bottle is made from 100% post-consumer recycled content (PCR)",artificial
"Selsun Blue Medicated Anti-dandruff Shampoo for Men is a maximum-strength formula to help control tough dandruff symptoms. Tough on dandruff and great on hair, this maximum-strength anti-dandruff shampoo provides targeted dandruff control to help prevent and eliminate itchy scalp and visible flakes associated with dandruff. Selsun Blue medicated anti-dandruff shampoo is formulated with menthol to deliver a cooling, refreshing and soothing sensation on the scalp. Stock up on 11-oz. bottles of Selsun Blue Dandruff Shampoo so you always have it on hand. Directions for Use: Shake well. Wet hair, massage onto scalp, rinse. Repeat if desired. For best results, use at least twice a week or as directed by a doctor. About Selsun Blue: Selsun Blue is the expert in scalp health, offering high-quality, effective solutions that are tough on dandruff and great for hair to help you feel confident, poised and in control. Selsun Blue helps control dandruff by powerfully relieving symptoms like flaking and itching. Say """"goodbye"""" to flakes and ditch your dandruff with Selsun Blue!",artificial
"This SheaMoisture rinse out sulfate free conditioner instantly detangles while infusing hair with intense moisture. Blended with Shea Butter, Mafura and Baobab Oils, this product helps to soften dry, damaged hair, and helps to restore manageability, leaving hair soft, shiny and easy to style. Key Ingredients in this collection are: Manuka Honey, Mafura Oil and Fig Extract. Formulated with no sulfates, no parabens, no phthalates, no mineral oil, no animal testing, and no petroleum. Antioxidant rich African Rock Fig helps boost hydration while protecting hair from environmental influences. Leaves hair soft, shiny and easy to style. This SheaMoisture Manuka Honey and Mafura Oil Intensive Hydration Conditioner has everything you need to keep your hair looking vibrant. To use, work this deep moisturizing conditioner through your hair from root to ends. Leave on for approximately three minutes, and then rinse thoroughly. SheaMoisture's Story: SheaMoisture is the legacy of Sofi Tucker, a pioneering mother of four and an entrepreneur, who sold Shea Butter, African Black Soap and homemade beauty preparations in Sierra Leone in 1912. We honor her vision by continuing to formulate with Raw Shea Butter handcrafted by women in Africa. With every purchase, you show support of our mission to reinvest back in our",natural
"Dove Men+Care Fortifying Shampoo + Conditioner Thick & Strong makes hair stronger and more resilient so that men can pursue their active lifestyles. Designed specifically for men that want visibly thicker and fuller hair, its formula uses caffeine and calcium to help strengthen hair, leaving it visibly healthy, thicker and more resilient. It works on each fiber to strengthen and recharge the hair's natural vigor. The convenient 2-in-1 formula functions as a shampoo and conditioner, cleansing and conditioning hair simultaneously so that you spend less time in the shower — and more time pursuing the active lifestyle you love. Sports and workouts can weaken hair, making it more prone to hair fall from breakage, so this is the perfect product for active lifestyles. Great hair doesn’t stop in the shower! Complete your hair care regimen and get your best look with the Dove Men + Care Sculpting Paste for a natural look, Defining Pomade for a sleek and polished finish, or Control Gel for all-day hold. Use it with the entire line of Dove Men + Care products for the ultimate grooming regimen. These products include favorites such as Dove Men + Care Clean Defense Body Wash, Dove Men + Care Dry Spray Antiperspirant, and Dove Men + Care Clinical Protection Stick. Packaging contains recycled content - Bottle is made from 100% post-consumer recycled content (PCR)",artificial
"To help prevent the damage done by daily wear and tear, Dove Nutritive Solutions Daily Moisture Shampoo and Conditioner progressively nourishes dry hair, leaving it feeling healthier in the long run when used together as a system. After the very first wash, this moisturizing shampoo and conditioner duo helps to nourish and protect your hair from daily aggressions, giving you silky, soft hair. This Dove shampoo and conditioner contains a unique formulation with Pro-Moisture Complex that smoothens and progressively nourishes hair deep inside. Even though you’ll notice you're looking smoother after the first wash, Dove Nutritive Solutions Daily Moisture Shampoo and Conditioner continues to nourish hair after each application, helping to make your hair feel healthier wash after wash. Its nourishing formula helps smooth the outer surface to protect it from daily damage, maintaining your hair’s natural balance without weighing it down. After one shower, you’ll feel that your hair is silky to the touch and easy to manage. How to use: Apply Dove Nutritive Solutions Daily Moisture Shampoo to wet hair, lather and rinse. For softer hair that feels smoother, follow with Dove Nutritive Solutions Daily Moisture Conditioner. Apply Dove Nutritive Solutions Daily Moisture Conditioner to wet hair after shampooing, concentrating on the mid-lengths and ends, and then rinse. Suitable for everyday use. Packaging contains recycled content - Bottle is made from 100% post-consumer recycled content (PCR)",artificial
"Fructis Sleek & Shine Fortifying Shampoo with sustainably sourced Argan Oil from Morocco plus Kera-System soaks into frizzy, dry hair to smooth each strand. Get up to 72 Hour Frizz Control even in 97% humidity* with this Fortifying Shampoo. Add the conditioner and leave-in treatments to help smooth each strand for long lasting frizz control Instructions: Massage onto wet hair, lather and rinse thoroughly. Follow with Sleek & Shine conditioner and leave-in cream.",artificial
"We’re bottling simple and effective ingredients for your beautiful locks. The Native Coconut & Vanilla Moisturizing Vegan Shampoo Sulfate, Paraben and Silicone Free - 16.5 fl oz uses just 10 thoughtful ingredients that let you say bye to dry hair. This coconut shampoo gently cleanses and replenishes moisture, leaving behind nothing but soft, healthy shine. Like all Native hair care products, it’s free of sulfates, parabens, silicones, and dyes, and it’s vegan and cruelty-free. All you got to do is lather, sing, rinse, and repeat for happy, hydrated hair. Life’s complicated enough, your hair care routine doesn’t have to be.",natural
"Hydrate, repair, and renew dry hair with OGX Renewing + Argan Oil of Morocco Hydrating Hair Shampoo. Formulated with a powerful and precious blend containing cold-pressed Moroccan argan oil, the moisturizing shampoo helps improve hair strength and elasticity, leaving you with touchable tresses that are soft but strong. This smoothing shampoo also helps repair dry, damaged strands, locking in hydration as it cleans hair to give it a look and feel of silky perfection. Plus, the citrus-fresh, floral-green and woody scent makes lathering up an all-around sensory experience that leaves locks with an irresistibly good smell. Paraben-free with sulfate-free surfactants, this nourishing shampoo is gentle enough to give locks a natural boost and radiant shine while protecting them from styling. For a full hair care routine that'll leave your hair lush, soft and divinely shiny, pair with OGX Extra Strength Argan Oil of Morocco Conditioner.",natural
"Hair That’s Worth It, Is Worth Repairing. L'Oreal Paris Elvive Total Repair 5 strengthening system of hydrating shampoo, conditioner, and treatments feature a repair concentrate with protein delivering intense care without the weigh down for silky, healthy-looking hair that feels light, is stronger, supple, and easy to style. Total Repair 5 Repairing Shampoo and Repairing Conditioner create a perfect synergy combining intense care with lightness, Total Repair 5 Power Restore Multi-Use Treatment acts as a leave-in conditioner, rinse-out mask, and co-wash helping fortify hair to strengthen against future damage, Total Repair 5 Damage Erasing Balm rinse-out mask deeply conditions and reinforces hair, and Total Repair 5 Protein Recharge leave-in conditioner helps recharge strength and protect against up to up to 450° heat. Indulge in our sophisticated scent with a floral, creamy blend",artificial
